,date,shot,fuel,oxidizer,diluent,t_0,u_t_0,p_0_nom,p_0,u_p_0,phi_nom,phi,u_phi,dil_mf_nom,dil_mf,u_dil_mf,wave_speed,u_wave_speed,t_ad,cj_speed,sound_speed,dil_mf_co2e,u_dil_mf_co2e
48,2020-12-27,7,CH4,N2O,N2,291.58081619251743,3.4873852274454538,101325.0,101352.01508800471,3.423702392677319,1.0,1.064228143589126,0.0004556133684854,0.2,0.3844850689481044,5.639190672277096e-05,2009.0395480225989,2.6753399022202595,2660.9988558540986,2029.238536089048,1107.0323709822512,0.3844850689481044,5.639190672277096e-05
49,2020-11-13,7,CH4,N2O,N2,289.1908975064921,3.4931927212631635,101325.0,101391.12915378048,2.2440402108836093,0.7,0.7590009657998769,0.0007679802093615,0.2,0.3602595480043486,9.545080935793534e-05,1901.6042780748664,2.3968578968989687,2596.2688379132987,1971.6154038597049,1077.237602185064,0.3602595480043486,9.545080935793534e-05
50,2020-11-24,7,CH4,N2O,N2,289.55443982935293,3.4931927314849367,101325.0,101408.05916883986,2.617471364108496,1.0,1.0748336085187593,0.0005877234511101,0.2,0.3861740001564491,6.915201376193422e-05,1971.9038817005544,2.577350474304554,2659.1208498525034,2030.3206488018773,1107.595333217156,0.3861740001564491,6.915201376193422e-05
51,2020-11-23,7,CH4,N2O,N2,289.57247579580013,3.4873852823826885,101325.0,101344.23459298632,1.9744133321217925,1.0,1.070242945032991,0.0005600223274136,0.2,0.385876928478252,6.27330434396119e-05,2005.2631578947369,2.6652916861111677,2659.232758613664,2029.676083608884,1107.222709636774,0.385876928478252,6.27330434396119e-05
52,2020-12-10,7,CH4,N2O,N2,288.9786478040189,3.487385252526777,101325.0,101352.63058490193,2.2644464547170657,1.0,1.0589326894506956,0.000403828486644,0.15,0.3140293736546691,5.471457112349328e-05,2063.442940038685,2.8221943819982136,2729.277812126299,2069.5457997799267,1126.4948103816018,0.3140293736546691,5.471457112349328e-05
53,2020-12-09,8,CH4,N2O,CO2,289.3095685943655,3.493192725592349,101325.0,101415.28208993624,2.826788719804318,0.7,0.7259568378131424,0.0002955587397935,0.15,0.1538111643443795,5.272031853100707e-05,1884.8056537102475,2.3546976306669536,2652.4529985546264,1932.389317215036,1045.8586693762595,0.1538111643443795,5.272031853100707e-05
54,2020-12-27,8,CH4,N2O,N2,291.04122433193794,3.487385294444857,101325.0,101355.10211001735,3.0885783470617763,1.0,1.072727842322355,0.0004624944735083,0.2,0.3845458249969163,5.7031756352542544e-05,2012.830188679245,2.6854450486647425,2661.190193927982,2030.7752729970416,1107.8570917130778,0.3845458249969163,5.7031756352542544e-05
55,2020-12-20,8,CH4,N2O,N2,290.16175757356467,3.4873852454791314,101325.0,101382.48430166484,2.9690930592476845,1.0,1.0751414989970338,0.0005758157539929,0.2,0.3856390554546555,6.705016642013327e-05,1953.8461538461536,2.530362389707139,2659.865131540393,2030.6306653243175,1107.7773307598688,0.3856390554546555,6.705016642013327e-05
56,2020-11-13,8,CH4,N2O,N2,289.3514653617311,3.4873852125201283,101325.0,101395.3981473612,2.111802467114769,1.0,1.072904728637197,0.0007666939126704,0.2,0.3863527957376413,8.179450845817653e-05,2012.830188679245,2.6854450486647425,2658.7913287448914,2029.8904503635376,1107.3520587716969,0.3863527957376413,8.179450845817653e-05
57,2020-12-21,9,CH4,N2O,N2,290.0826426723912,3.487385191458308,101325.0,101390.01933257889,2.9212440942019984,1.0,1.062523541067867,0.0004630131915523,0.2,0.3845351167738343,5.700891370671076e-05,1957.4311926605503,2.5396566422689437,2660.4782798729093,2029.078860593891,1106.863751971471,0.3845351167738343,5.700891370671076e-05
